numBlocks,percentage,numCappReceivers,numDepositAddresses,numFalsePositives,fps
180,0.1,599,2260382,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.2,537,1898721,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.25,518,1861590,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.33,475,1408337,1,0xbbc79794599b19274850492394004087cbf89710
180,0.6,353,991348,1,0xbbc79794599b19274850492394004087cbf89710
180,0.4,447,1373952,1,0xbbc79794599b19274850492394004087cbf89710
180,0.5,403,1161244,1,0xbbc79794599b19274850492394004087cbf89710
180,0.45,430,1336854,1,0xbbc79794599b19274850492394004087cbf89710
180,0.75,270,759872,0,
360,0.1,791,2456617,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.2,732,2096271,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.25,710,2039503,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.33,664,1618461,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.4,620,1537204,1,0xbbc79794599b19274850492394004087cbf89710
360,0.45,573,1487779,1,0xbbc79794599b19274850492394004087cbf89710
360,0.6,475,1358940,1,0xbbc79794599b19274850492394004087cbf89710
360,0.75,358,968005,0,
360,0.5,545,1458325,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.1,1166,3428094,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.2,1096,2691571,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.25,1069,2519300,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.33,1040,2383655,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.4,1007,1988860,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.45,964,1914647,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.6,868,1706228,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.75,705,1500261,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.5,934,1847157,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.1,1282,3526164,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.2,1231,2999892,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.25,1192,2760461,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.33,1151,2582939,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.4,1120,2137470,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.45,1075,2014498,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.6,962,1790337,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.75,797,1670768,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.5,1053,1986297,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.1,1451,3681571,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.2,1400,3166149,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.25,1363,3001778,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.33,1316,2746260,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.4,1279,2352536,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.45,1242,2169095,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.6,1119,2009450,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.75,938,1755116,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.5,1211,2138559,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.1,1569,3811036,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.2,1520,3398560,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.25,1482,3176251,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.33,1422,2805833,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.4,1396,2441705,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.45,1358,2310482,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.6,1231,2092673,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.75,1039,1823307,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.5,1318,2218518,1,0xbbc79794599b19274850492394004087cbf89710
34560,0.1,1657,3884034,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.2,1609,3517026,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.25,1574,3350520,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.33,1517,2926709,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.4,1474,2496930,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.45,1443,2446468,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.6,1322,2193540,1,0xbbc79794599b19274850492394004087cbf89710
