numBlocks,percentage,numCappReceivers,numDepositAddresses,numFalsePositives,fps
34560,0.75,1118,1929018,1,0xbbc79794599b19274850492394004087cbf89710
34560,0.5,1401,2300985,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.1,1740,3938265,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.2,1685,3556909,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.25,1647,3401528,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.33,1597,3090807,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.4,1546,2921207,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.45,1514,2506326,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.6,1378,2242711,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.75,1192,1974013,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.5,1470,2367435,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.1,1845,4056711,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.2,1788,3705304,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.25,1750,3534724,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.33,1701,3302005,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.4,1638,3019579,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.45,1607,2601856,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.6,1479,2359414,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.75,1292,2078345,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.5,1575,2550465,1,0xbbc79794599b19274850492394004087cbf89710
51840,0.1,1796,3983624,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.2,1745,3661220,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.25,1701,3475575,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.33,1656,3186205,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.4,1599,2964740,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.45,1572,2554451,3,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.6,1441,2300530,1,0xbbc79794599b19274850492394004087cbf89710
51840,0.75,1256,2040361,1,0xbbc79794599b19274850492394004087cbf89710
51840,0.5,1534,2446035,1,0xbbc79794599b19274850492394004087cbf89710
